county,median_household_income_total_growth_pct,median_household_income_annual_growth_pct,per_capita_income_total_growth_pct,per_capita_income_annual_growth_pct,median_home_value_total_growth_pct,median_home_value_annual_growth_pct,total_population_total_growth_pct,total_population_annual_growth_pct,median_gross_rent_total_growth_pct,median_gross_rent_annual_growth_pct
Scott County (Davenport/Bettendorf),33.597204674668355,2.799767056222363,41.02383511880491,3.4186529265670758,33.101314771848415,2.7584428976540347,6.856694111439684,0.571391175953307,36.102236421725244,3.008519701810437
Linn County (Cedar Rapids),33.65753580791003,2.804794650659169,35.874487430914606,2.989540619242884,25.94268476621418,2.161890397184515,11.520577687785122,0.9600481406487602,34.86088379705401,2.9050736497545007
Black Hawk County (Waterloo),33.12926278544659,2.760771898787216,45.57193923145666,3.7976616026213885,35.83916083916084,2.9865967365967365,3.1616798436040163,0.2634733203003347,39.04448105436573,3.253706754530478
Dubuque County (Dubuque),42.04365575272849,3.503637979394041,46.45675730934369,3.871396442445308,39.80213089802131,3.316844241501776,7.2148708254568374,0.6012392354547365,49.82078853046595,4.151732377538829
